メールアドレスを確認するリンクを<br>{email}<br>へ通信しました。<br><br>インボックスへ移動して、リンクをクリックしてください。,A link to confirm your email address has been sent to <br>{email}. <br><br>Please check your inbox.
確認メールを再通信する,Re-send confirmation email
メールアドレスの確認が完了です。,Email address confirmed!
メールの確認に失敗しました。リンクの有効期限が切れました。,Email address confirmation failed.
メールの確認に失敗しました。メールアドレスが一致しません。,Email address confirmation failed.
パスワードの変更,Change password
パスワードを変更する,Change password
パスワードの変更が成功しました。,Password was successfully changed!
パスワードの変更に失敗しました。,Failed to change password.
メールアドレスの確認が完了です,Your email address has been confirmed
本人確認手続き,Identity verification procedure
入金・出金,Deposit / Withdrawal
アカウント,Account
設定,Settings
ヘルプ,Help
プライバシーポリシー,Privacy Policy
利用規約,Terms of Use
企業情報,Company Profile
サインイン,Sign-in
サインアウト,Sign-out
入出金履歴,Deposit & Withdrawal History
日付,Date
出金/入金金額,Withdrawal/Deposit Amount
お取引内容,Transaction Details
入金する,Make a deposit
出金する,Make a withdrawal
入金・出金,Deposit / Withdrawal
入出金履歴を見る,View deposit / withdrawal history
アカウント状態によっては一部の操作が制限されることに注意してください。,Please note that some operations may be restricted depending on your account status
入金手続,Deposit procedure
入金金額の入力,Enter deposit amount
入金の最低金額は{min}になります,The minimum deposit amount is {min}
支払い方法を選択,Select payment method
銀行振込,Bank Transfer
クレジットカード,Credit Card
仮想通貨,Cryptocurrency
外部サイトに飛びます,You will be taken to an external site.
＊ 最大入金額は{max}です ＊,The maximum deposit amount is {max}
＊ 最低入金額は{min}です ＊,The minimum deposit amount is {min}
ビットコイン (BTC),Bitcoin
エーテル (ETH),Ethereum
銀行名,Bank Name
支店,Bank Branch
口座番号,Account number
普通,Regular
貯金,Savings
銀行に登録されている名前,Name registered with Bank.
クレジットカード番号,Credit card number
有効期限,Expiration date
カードの名前,Name on credit card
入金処理中,Deposit Processing
入出金履歴を見る,View deposit / withdrawal history
マイページ,My page
入金がキャンセルされました,Deposit canceled.
入金に失敗しました,Deposit failed.
お支払い方法を選択してください。,Please select the payment method.
金額を入力してください。,Please enter the amount.
お金が足りません。預け入れにリダイレクトします。,Insufficient funds. Redirecting you to Deposits.
引き出しを行う前に、メールアドレスの確認をお願いします。,Please verify your identity before processing a withdrawal.
入金を行う前に、メールアドレスの確認をお願いします。,Please confirm your email address before making a deposit.
{field}は必須項目です,{field} is required.
暗号資産の種類を選択してください,Please select the type of cryptocurrency.
送金先の暗号資産アドレスを入力してください,Please enter the wallet address.
出金手続,Withdrawal Procedure
出金金額の入力,Enter withdrawal amount
出金の最大金額は{max}になります,The maximum withdrawal amount is {max}
出金方法を選択,Select withdrawal method
出金する,Make a withdrawal
＊ 最大出金額は{max}です ＊,Maximum withdrawal amount is {max}
＊ 最低出金額は{min}です ＊,Minimum withdrawal amount is {min}
ウォレットアドレス,Wallet address
出金がキャンセルされました,Withdrawal Cancelled
出金処理中,Withdrawal is processing
出金に失敗しました,Withdrawal failed
よくある質問,FAQ
イベント,Events
お問い合わせ,Inquiry
疑問が解決しない場合、\nお問い合わせフォームまたは\nチャットでもお問い合わせ可能です。,"If your question remains unanswered, use the contact form. You can also contact us via Chat."
詳しく見る,See details
ユーザーネーム,Username
トロフィー,Trophies
ランク,Rank
勝率,Win Rate
リターン,Return
最良のシナリオ,Best case scenario
期待値のシナリオ,Expected value scenario
最良の賞金(合計),Best Case Total Reward
最良の現金残高,Best Case Cash Balance
期待値の賞金（合計）,Expected Total Reward
期待値の現金残高,Expected Cash Balance
1日間の変化,1 day change
現在の現金残高,Current Cash Balance
累計損益,Cumulative Profit
チャート,Chart
データ,Data
現金残高,Cash Balance
掛金履歴,Wager History
アクティブ,Active
インアクティブ,Inactive
終了,Finished
利益と損失,Profit and Loss
発生確率,Outcome Probability
入出金履歴,Deposit and Withdrawal history
賭け履歴なし,No wager history.
申し込み日:,Date of wager
賭け金:,Wager amount
実現リターン: {amount},Realized return: {amount}
予想リターン: {amount},Predicted return: {amount}
イベント詳細,Event Details
別の賭けをする,Make Another Wager
終了,Finished
支払い額,Payout amount
終了日時,Termination Date
終了理由,Termination Reason
最良の場合,Best Case
予想される,Anticipated
利用可能,Available
日次損失,Daily Losses
日次利益,Daily Gains
実現利益,Realized Gains
未払いの賭け金,Outstanding Wagers
証拠金の預け入れ,Margin Deposits
レバレッジ比率,Leverage Ratio
Notifications,
通知・インボックス,Notifications / inbox
消した通知を含む,Include deleted notifications
まだ通知はありません,No notifications.
この通知はメールアドレスにも送ってあります。,This notification is also sent to your email address.
アーカイブが成功しました。,Archived successfully!
アーカイブ解除に成功しました,Successfully unarchived.
既読に設定,Mark as read.
未読に設定,Mark as unread.
,
最後の賭けの時間,Time of Last Wager
解決の時間,Time of Resolution
現金使用量,Cash Used
解決結果,Actual Outcome
利用不可,Cannot be used
結果の確率,Outcome probability
利用可能残高,Available Balance
選択してください,Please make a selection
私たちとチャットしよう,Chat with us
設定を保存する,Save settings
設定が更新されました,Preferences updated
賭け金は返金されました,Wager Refunded
賭け金は返金\nされました,Wager\nRefunded
賭け金は返金されました。\n詳細はこちらをご覧ください。,Your wager has been refunded.\nSee details here.
賭け金は返金されました。,Your wager has\nbeen refunded
